userId,startedAt,endedAt,sessionStartLat,sessionStartLong
2fheEKz4ZQeWPSX1tzaGtBT6oyU7zjkVY3eF7zteZL8=,2019-05-01 18:02:57.598 UTC,2019-05-01 18:19:37.073 UTC,37.8085,-122.4106
OqtubdEGTzlF6pAmsA9ysBOsZO3RoTinE27k9RI6bIc=,2019-05-01 18:11:01.051 UTC,2019-05-01 18:27:40.627001 UTC,37.7537,-122.3961
/UQyh+CGuxTOrfbDdXZqwLFph6vIvm3jj73Zi1FwQo4=,2019-05-01 18:15:54.165 UTC,2019-05-01 18:30:33.859 UTC,37.7729,-122.4106
j4JyzYLkrw4JrpEESL58aw9OHvpa0xodJqxA5DKfRqA=,2019-05-01 18:20:29.603 UTC,2019-05-01 18:34:54.613 UTC,37.7837,-122.4085
Wczgd4SAwqvYcnHhc3gZvTVlNulYciq+A0A6nX9guK4=,2019-05-01 18:21:48.765 UTC,2019-05-01 18:22:12.543 UTC,37.7703,-122.415
/AB2EyoDWgWkDpYpuADkvbdoGAlbuALRXQn7OyVNpi0=,2019-05-01 18:25:20.387 UTC,2019-05-01 18:32:14.192 UTC,37.7837,-122.3986
NQMcfApRK8kHlqF1ybl9T8Effeu6+G5MzZo2oSQjTvw=,2019-05-01 18:32:00.891 UTC,2019-05-01 18:44:31.152 UTC,37.7862,-122.4395
mgcryKrH6N7Lnq5TGU2ngl6bT4SJllN9L4I2SU+sx68=,2019-05-01 18:32:04.854 UTC,2019-05-01 18:32:14.548001 UTC,37.7889,-122.4022
v5GBxFLrlT7Agh7Scf47gAXBirIBYtfe6bt3uR/sSgg=,2019-05-01 18:33:21.812 UTC,2019-05-01 18:34:07.569 UTC,37.7835,-122.437
VIRHiQsjDGGaQAhHYy0xtp6biyAVw5jv9H5/8PSr1b8=,2019-05-01 18:42:40.085 UTC,2019-05-01 19:03:30.716 UTC,37.802,-122.4075
iu/A+0EYTbyrTUt47IAOkxS4h9hRyQmZ7Lm3fdzS0Xg=,2019-05-01 18:49:55.150 UTC,2019-05-01 18:51:14.903001 UTC,37.8085,-122.4133
WBCOjd2DPT1bHbph7Thw0U5zJVk6y3XHgOUmBbu/yFg=,2019-05-01 18:52:41.946 UTC,2019-05-01 19:08:52.388 UTC,37.7808,-122.4211
i8yA7rQz83bJJDcESZoH9/NYXYPorT1bKeMhfsLkYu8=,2019-05-01 18:53:23.943 UTC,2019-05-01 19:24:25.138 UTC,37.7811,-122.3928
5v0e3GH2KvxC3/ZwYzzxylwuA4cSvVAj2yxV3EL27zE=,2019-05-01 18:54:07.712 UTC,2019-05-01 18:54:07.892001 UTC,37.7996,-122.4124
cyS1CWjZ65UfgrEpahroSeiYI7xxvBNcO2pJMuNwVPU=,2019-05-01 18:56:51.293001 UTC,2019-05-01 18:57:43.003 UTC,37.7917,-122.421
uINIFQECXOHR5gTh1CQ+wVdeSK3Q3Rh8IEeBThnxC/g=,2019-05-01 19:00:39.768 UTC,2019-05-01 19:02:14.819004 UTC,37.7931,-122.392
Wkx8lIncw4gdDfjlPwWPLulki34SDI3l9Q4z+/dX5ZQ=,2019-05-01 19:00:43.278 UTC,2019-05-01 19:07:56.129 UTC,37.7754,-122.4033
kjHtMJY4jxd7l3nwCx99ALpwu7+1xYHLRqehxzO8TUI=,2019-05-01 19:02:11.487 UTC,2019-05-01 19:26:58.537 UTC,37.7873,-122.4072
Xrm2ez9FQ8QbBn1AcxsqAMnerOm76ph57s9FWjvI2Lc=,2019-05-01 19:02:28.120 UTC,2019-05-01 19:17:08.904 UTC,37.7758,-122.4312
Cm5CPs4UA65rMexVVw15uKIdHjvWkn0nUrVqu2TKbIg=,2019-05-01 19:04:30.520 UTC,2019-05-01 19:05:15.127 UTC,37.7836,-122.4002
GHQttgaOmxJOW2iPzh88rofa7k95AHW6NYBoHEps2aU=,2019-05-01 19:05:18.427 UTC,2019-05-01 19:11:24.194 UTC,37.7753,-122.4003
m93ip5o+ZEkz4v/ci2T0RXtokW+z8W1GLyEKCDph460=,2019-05-01 19:05:50.219 UTC,2019-05-01 19:40:12.659 UTC,37.7822,-122.4186
5SViqUCknY1rsU+g0gQ6QnDoAqxkEoJhUCGOfTbeP6w=,2019-05-01 19:06:17.479 UTC,2019-05-01 19:21:48.549 UTC,37.8004,-122.4103
/UQyh+CGuxTOrfbDdXZqwLFph6vIvm3jj73Zi1FwQo4=,2019-05-01 19:07:05.003 UTC,2019-05-01 19:08:04.675 UTC,37.8021,-122.4181
fOMpe/38I79vecNj0gLjGNS+origtne3Ar2qN8TexOk=,2019-05-01 19:17:15.087 UTC,2019-05-01 19:20:16.600 UTC,37.7856,-122.4001
