userId,startedAt,endedAt,startedLocationLat,startedLocationLong,endedLocationLat,endedLocationLong
by3oP2sI02PxvufDhu6L9FfoSDehFKGI4GMUS/ALkHs=,2019-05-01 17:05:00.815 UTC,2019-05-01 17:06:27.398 UTC,37.7958,-122.3942,37.7957,-122.3942
aG+rMglZ+rPf2xj+Talmw0GRVbWX/sZkorZtIUf/uQo=,2019-05-01 17:05:39.454 UTC,2019-05-01 17:18:44.792 UTC,37.7709,-122.4323,37.7645,-122.4125
2fheEKz4ZQeWPSX1tzaGtBT6oyU7zjkVY3eF7zteZL8=,2019-05-01 17:07:10.108 UTC,2019-05-01 17:19:34.774 UTC,37.7999,-122.3978,37.8084,-122.4107
by3oP2sI02PxvufDhu6L9FfoSDehFKGI4GMUS/ALkHs=,2019-05-01 17:07:52.223 UTC,2019-05-01 17:27:05.976 UTC,37.7959,-122.3944,37.8051,-122.4319
3b0a5iSZpZdKQTNs1bkVtUwG5qIk0LrInvomQuHPgPg=,2019-05-01 17:17:01.440 UTC,2019-05-01 17:29:07.315 UTC,37.765,-122.4202,37.7714,-122.4049
Wczgd4SAwqvYcnHhc3gZvTVlNulYciq+A0A6nX9guK4=,2019-05-01 17:21:25.837 UTC,2019-05-01 17:50:48.979 UTC,37.7846,-122.4004,37.7688,-122.4127
jHh1Lh97lS2lvS84zN2OTn9fodnUrelVsau5PHeepOo=,2019-05-01 17:26:59.221 UTC,2019-05-01 17:28:55.979 UTC,37.7929,-122.4001,37.7931,-122.4
KGiExUxzJchWXv0R4iGqUAcGFNu0OwhDdIZuA2KkkDg=,2019-05-01 17:29:06.812 UTC,2019-05-01 17:36:42.881 UTC,37.7884,-122.4203,37.7798,-122.4165
CLKmHOAptOzTHxYihNp7mapdQYipRnHC0sl7sa8yb04=,2019-05-01 17:50:18.653 UTC,2019-05-01 18:09:13.432 UTC,37.8084,-122.4108,37.8072,-122.419
jHh1Lh97lS2lvS84zN2OTn9fodnUrelVsau5PHeepOo=,2019-05-01 17:51:25.063 UTC,2019-05-01 17:53:24.181 UTC,37.7943,-122.4007,37.7951,-122.3998
BH0fH4jJYJyPgZYTCldZFFVddLph4KfUkt+xsf3UhQU=,2019-05-01 17:52:12.751 UTC,2019-05-01 18:05:08.579 UTC,37.7938,-122.3918,37.7773,-122.4172
I19pi9g5kNdg9JXpWQTMDvD3A32FQEf9qOW/Hp03Q78=,2019-05-01 17:54:04.648 UTC,2019-05-01 17:58:38.833 UTC,37.7792,-122.3932,37.786,-122.3979
KGiExUxzJchWXv0R4iGqUAcGFNu0OwhDdIZuA2KkkDg=,2019-05-01 17:54:46.921 UTC,2019-05-01 18:00:09.988 UTC,37.779,-122.4177,37.7725,-122.4133
iu/A+0EYTbyrTUt47IAOkxS4h9hRyQmZ7Lm3fdzS0Xg=,2019-05-01 17:56:13.015 UTC,2019-05-01 18:51:06.502 UTC,37.8087,-122.4133,37.8087,-122.4131
/UQyh+CGuxTOrfbDdXZqwLFph6vIvm3jj73Zi1FwQo4=,2019-05-01 18:16:05.647 UTC,2019-05-01 19:07:58.131 UTC,37.8085,-122.4141,37.7761,-122.4226
KGiExUxzJchWXv0R4iGqUAcGFNu0OwhDdIZuA2KkkDg=,2019-05-01 18:16:07.957 UTC,2019-05-01 18:21:42.735 UTC,37.7726,-122.4132,37.7819,-122.4077
j4JyzYLkrw4JrpEESL58aw9OHvpa0xodJqxA5DKfRqA=,2019-05-01 18:22:34.631 UTC,2019-05-01 18:34:46.039 UTC,37.7769,-122.3952,37.7837,-122.4088
/AB2EyoDWgWkDpYpuADkvbdoGAlbuALRXQn7OyVNpi0=,2019-05-01 18:25:27.092 UTC,2019-05-01 18:32:04.743 UTC,37.7785,-122.393,37.7896,-122.3994
LzDvdjbP+jVsUsiK6DFlxk3gVFEGxvrQkDmiTJDlmxw=,2019-05-01 18:32:54.987 UTC,2019-05-01 18:41:48.584 UTC,37.749,-122.4206,37.7664,-122.4176
2A4YveHHh2VfAFAfv+pmHe2u8BIqptMAYXkyWAuiXSY=,2019-05-01 18:35:56.911 UTC,2019-05-01 18:50:51.083 UTC,37.768,-122.3942,37.7882,-122.4046
VIRHiQsjDGGaQAhHYy0xtp6biyAVw5jv9H5/8PSr1b8=,2019-05-01 18:53:07.135 UTC,2019-05-01 19:03:29.368 UTC,37.8018,-122.4079,37.7896,-122.3988
i8yA7rQz83bJJDcESZoH9/NYXYPorT1bKeMhfsLkYu8=,2019-05-01 18:53:57.692 UTC,2019-05-01 18:56:46.797 UTC,37.7812,-122.3928,37.7863,-122.3971
Wkx8lIncw4gdDfjlPwWPLulki34SDI3l9Q4z+/dX5ZQ=,2019-05-01 19:03:49.976 UTC,2019-05-01 19:07:50.794 UTC,37.7908,-122.4031,37.7861,-122.405
kjHtMJY4jxd7l3nwCx99ALpwu7+1xYHLRqehxzO8TUI=,2019-05-01 19:04:27.542 UTC,2019-05-01 19:21:30.228 UTC,37.8026,-122.4096,37.7799,-122.3892
Cm5CPs4UA65rMexVVw15uKIdHjvWkn0nUrVqu2TKbIg=,2019-05-01 19:04:41.065 UTC,2019-05-01 19:17:19.847 UTC,37.7846,-122.4004,37.7716,-122.405
Xrm2ez9FQ8QbBn1AcxsqAMnerOm76ph57s9FWjvI2Lc=,2019-05-01 19:06:04.543 UTC,2019-05-01 19:16:40.195 UTC,37.7858,-122.4079,37.7889,-122.3921
5SViqUCknY1rsU+g0gQ6QnDoAqxkEoJhUCGOfTbeP6w=,2019-05-01 19:06:34.736 UTC,2019-05-01 19:16:22.203 UTC,37.7965,-122.3949,37.7743,-122.3874
i8yA7rQz83bJJDcESZoH9/NYXYPorT1bKeMhfsLkYu8=,2019-05-01 19:21:37.807 UTC,2019-05-01 19:24:20.747 UTC,37.7863,-122.3968,37.7808,-122.3931
kjHtMJY4jxd7l3nwCx99ALpwu7+1xYHLRqehxzO8TUI=,2019-05-01 19:22:25.303 UTC,2019-05-01 20:01:43.438 UTC,37.78,-122.3894,37.7798,-122.3892
ivjnTkuENDfqYC2gr4kgdHpcEPIFAlPDPjqUUyPlX94=,2019-05-01 19:23:06.335 UTC,2019-05-01 19:34:35.932 UTC,37.7938,-122.3961,37.775,-122.3975
BwX27Z+DXeIDr96JZ8lMZUr53mXE116B0u6J1y8zuH8=,2019-05-01 19:29:48.086 UTC,2019-05-01 19:36:58.677 UTC,37.7897,-122.3974,37.7871,-122.3864
m93ip5o+ZEkz4v/ci2T0RXtokW+z8W1GLyEKCDph460=,2019-05-01 19:29:49.203 UTC,2019-05-01 19:40:06.749 UTC,37.7743,-122.4217,37.7716,-122.4337
JwujkhrPITz6LdHgGLMLLgTXCwHZb5w5kQPplWXDCd8=,2019-05-01 19:36:26.803 UTC,2019-05-01 19:49:51.886 UTC,37.7942,-122.3953,37.8107,-122.411
LFlU9S3THc0Sc0YCvRA1hNSs77jwmGa88AGX3MrxWCE=,2019-05-01 19:37:41.999 UTC,2019-05-01 19:44:42.187 UTC,37.795,-122.3972,37.7878,-122.4033
E6DNQ1KwgGmOF/1SZ4IDmnUuBW9HqBavJm+5PTDswT8=,2019-05-01 19:40:51.102 UTC,2019-05-01 19:51:17.484 UTC,37.7913,-122.3993,37.8006,-122.4076
6Qoszvnr+1iwB5nHSceapnqm1P5OMytVG5kKAx00Jhg=,2019-05-01 19:45:03.209 UTC,2019-05-01 19:54:46.446 UTC,37.7716,-122.4336,37.7612,-122.4282
6WqhvtvIT5smoZusqz0J6aIY69/toIH2bY9AEkr3h9A=,2019-05-01 19:51:23.854 UTC,2019-05-01 19:57:50.599 UTC,37.7828,-122.3932,37.7896,-122.3945
b90lgi7GgofebYA8rCVM+ckF0YC+ONJaK6zBMP////I=,2019-05-01 19:51:41.261 UTC,2019-05-01 19:58:03.913 UTC,37.7765,-122.3923,37.7691,-122.3962
nW8Ai+ya+xnTTevXOrIskgnJCp7UuOtTdCqSPcD2GwI=,2019-05-01 19:58:28.505 UTC,2019-05-01 20:06:46.963 UTC,37.7731,-122.4154,37.7857,-122.4012
5eYlEEWIfTMPk9uhfMtsOFOPtZ1Ix05lp3GnyBa4ow4=,2019-05-01 19:59:58.200 UTC,2019-05-01 20:08:29.343 UTC,37.7945,-122.3929,37.7851,-122.3964
7pzs/lXXRhr6hsURQQszhTJAE3+GFxHE66w8ut902J4=,2019-05-01 20:00:12.403 UTC,2019-05-01 20:15:52.932 UTC,37.7949,-122.4028,37.794,-122.4033
poxoDwj6Iimpom4GGTd2I8hrMgIP60U3mkBosMC4fOU=,2019-05-01 20:01:50.311 UTC,2019-05-01 20:08:02.483 UTC,37.769,-122.3881,37.7733,-122.3883
z0fVe0Je/63Ytd9WN2NHkZdPksz5qqOAkw11gPZNA44=,2019-05-01 20:02:21.031 UTC,2019-05-01 20:07:21.579 UTC,37.7688,-122.3879,37.7736,-122.3878
giFpVpQlyb0ycSjo/71jZeXeV8lQswEIBSLFk1MEefA=,2019-05-01 20:03:12.227 UTC,2019-05-01 20:12:42.737 UTC,37.8085,-122.4091,37.7942,-122.3951
poxoDwj6Iimpom4GGTd2I8hrMgIP60U3mkBosMC4fOU=,2019-05-01 20:15:56.163 UTC,2019-05-01 20:44:22.581 UTC,37.7734,-122.3883,37.7689,-122.388
7pzs/lXXRhr6hsURQQszhTJAE3+GFxHE66w8ut902J4=,2019-05-01 20:16:05.019 UTC,2019-05-01 20:21:59.382 UTC,37.7941,-122.4033,37.7918,-122.4011
E6DNQ1KwgGmOF/1SZ4IDmnUuBW9HqBavJm+5PTDswT8=,2019-05-01 20:25:28.722 UTC,2019-05-01 20:34:28.892 UTC,37.8006,-122.4077,37.7932,-122.3978
oCeXdjW+MB8myaUI2XPZoojFADuo+4n8ikc4LcdGEJ0=,2019-05-01 20:30:33.982 UTC,2019-05-01 20:36:13.700 UTC,37.7859,-122.4003,37.7897,-122.3977
