station_id,station_name,station_city,latitude,longitude,station_capacity
128,Damen Ave & Chicago Ave,Chicago,41.895769,-87.67722,19
129,Blue Island Ave & 18th St,Chicago ,41.857556,-87.661535,15
130,Damen Ave & Division St,Chicago ,41.903266,-87.678435,15
131,Lincoln Ave & Belmont Ave,Chicago ,41.939365,-87.668385,15
132,Wentworth Ave & 24th St,Chicago ,41.849237,-87.631715,15
133,Kingsbury St & Kinzie St,Chicago,41.88917683,-87.63850577,31
134,Peoria St & Jackson Blvd,Chicago,41.877749,-87.649633,19
135,Halsted St & 21st St,Chicago,41.85378,-87.64665,11
136,Racine Ave & 13th St,Chicago ,41.865054,-87.656959,15
137,Morgan Ave & 14th Pl,Chicago ,41.862378,-87.651062,15
138,Clybourn Ave & Division St,Chicago ,41.904613,-87.640552,15
140,Dearborn Pkwy & Delaware Pl,Chicago ,41.898969,-87.629912,19
141,Clark St & Lincoln Ave,Chicago ,41.915689,-87.6346,23
142,McClurg Ct & Erie St,Chicago ,41.894503,-87.617854,31
143,Sedgwick St & Webster Ave,Chicago ,41.922167,-87.638888,15
144,Larrabee St & Webster Ave,Chicago ,41.921822,-87.64414,19
145,Mies van der Rohe Way & Chestnut St,Chicago,41.89858665,-87.62191523,19
146,Loomis St & Jackson Blvd,Chicago ,41.877945,-87.662007,11
147,Indiana Ave & 26th St,Chicago ,41.845687,-87.622481,15
148,State St & 33rd St,Chicago ,41.834734,-87.625813,15
149,Calumet Ave & 33rd St,Chicago ,41.8349,-87.61793,11
150,Fort Dearborn Dr & 31st St,Chicago ,41.838556,-87.608218,27
152,Lincoln Ave & Diversey Pkwy,Chicago ,41.932225,-87.658617,15
153,Southport Ave & Wellington Ave,Chicago ,41.935733,-87.663576,19
154,Southport Ave & Belmont Ave,Chicago ,41.93949,-87.66378,15
156,Clark St & Wellington Ave,Chicago ,41.93649682,-87.64753866,15
157,Lake Shore Dr & Wellington Ave,Chicago ,41.936669,-87.636794,15
158,Milwaukee Ave & Wabansia Ave,Chicago ,41.912616,-87.681391,15
159,Claremont Ave & Hirsch St,Chicago,41.907781,-87.685854,11
160,Campbell Ave & North Ave,Chicago,41.910535,-87.689556,15
161,Rush St & Superior St,Chicago,41.89576475,-87.62590803,23
162,Damen Ave & Wellington Ave,Chicago,41.93588,-87.67842,15
163,Damen Ave & Clybourn Ave,Chicago,41.931931,-87.677856,15
164,Franklin St & Lake St,Chicago,41.885837,-87.6355,27
165,Clark St & Grace St,Chicago,41.95078,-87.659172,19
166,Ashland Ave & Wrightwood Ave,Chicago ,41.92883,-87.668507,15
167,Damen Ave & Coulter St,Chicago ,41.8492,-87.67564,11
168,Michigan Ave & 14th St,Chicago ,41.864059,-87.623727,19
169,Canal St & Harrison St,Chicago ,41.874255,-87.639573,15
170,Clinton St & 18th St,Chicago,41.85795,-87.640826,15
171,May St & Cullerton St,Chicago ,41.855136,-87.654127,11
172,Rush St & Cedar St,Chicago,41.9023087,-87.62769053,11
173,Mies van der Rohe Way & Chicago Ave,Chicago ,41.89691,-87.621743,15
174,Canal St & Madison St,Chicago ,41.882091,-87.639833,35
175,Wells St & Polk St,Chicago ,41.872596,-87.633502,19
176,Clark St & Elm St,Chicago ,41.902973,-87.63128,27
177,Theater on the Lake,Chicago ,41.926277,-87.630834,23
178,State St & 19th St,Chicago ,41.856594,-87.627542,15
179,MLK Jr Dr & Oakwood Blvd,Chicago,41.82256,-87.61615,15
180,Ritchie Ct & Banks St,Chicago,41.906866,-87.626217,15
181,LaSalle St & Illinois St,Chicago,41.890762,-87.631697,31
182,Wells St & Elm St,Chicago,41.903222,-87.634324,23
183,Damen Ave & Augusta Blvd,Chicago,41.899113,-87.677212,23
184,State St & 35th St,Chicago,41.83104,-87.62688,19
185,Stave St & Armitage Ave,Chicago,41.917741,-87.691392,11
186,Ogden Ave & Race Ave,Chicago,41.891795,-87.658751,15
